nama,rating,waktu,ulasan
Pengguna Google,5,2022-04-26 05:58:31,"meskipun masih bingung cara pakainya kalau mau beli barang pakai voucher,promo dsb..."
Pengguna Google,1,2023-04-11 14:56:54,Bikin akun di perpayah apk sampah
Pengguna Google,5,2022-04-07 01:46:26,trimakasih toko pedia smoga smakin Jaya Jaya jaya
Pengguna Google,5,2021-07-29 15:25:51,Baguss bangett
Pengguna Google,5,2021-11-26 11:02:18,keren 👍☺️
Pengguna Google,5,2021-04-18 13:32:59,Jempol 👍👍👍 3 jempol mantap
Pengguna Google,1,2023-09-28 19:46:15,Ahhh bohong mau ngajukan pinjaman di tolak... Bangkekkk bangkeekkk
Pengguna Google,5,2021-05-10 02:43:38,Puas dan terpuaskan Sangat puas dan terhibur
Pengguna Google,5,2021-06-09 01:27:11,Apk ini sangat bagus
Pengguna Google,5,2023-09-21 03:50:10,gercep 😍
Pengguna Google,5,2021-10-22 12:30:42,"sy toppers peringkat gold,mau tanya kok sekarang ada gopay lha terus pembayaran pakai ovo bagaimana admin???"
Pengguna Google,1,2023-04-10 14:43:07,"pembayaran bpjs kesehatan di tokopedia banyak bermasalah. tagihan sudah dibayar, saldo sudah terpotong tapi dicek masih belum terbayar."
Pengguna Google,5,2024-05-26 15:20:51,Ok bagus kok untuk saat ini ada kemajuan
Pengguna Google,5,2021-05-05 17:37:33,Mataaaappppp
Pengguna Google,5,2021-06-24 13:27:31,toko pedia mantap
Pengguna Google,1,2021-08-01 13:11:25,"Aplikasi macam tolol,sdh pake wifi,proses dowload lama lagi,is cacat,lebih enakan dowload video"
Pengguna Google,5,2022-10-11 09:11:53,Berkat toko pedia memudahkan saya untuk berbelanja
Pengguna Google,5,2021-10-29 08:04:16,terima kasih sukses selalu Tokopedia
Pengguna Google,1,2021-12-28 13:56:40,Bug waktu update
Pengguna Google,5,2021-12-26 04:02:32,good aplication
Pengguna Google,5,2021-11-16 16:34:41,"So fa okey, thanks"
Pengguna Google,5,2021-09-15 03:36:12,terimakasih topet semuanya jadi mudah
Pengguna Google,5,2024-06-02 23:36:47,baik
Pengguna Google,5,2022-06-03 10:29:13,Mantaps diskonnya
Pengguna Google,5,2021-03-30 12:23:56,Mantaappp. . . 👍
Pengguna Google,1,2022-05-28 00:12:44,"Gua gelombang 28 sampe sekarang sertifikat belum muncul juga di dashboard, gua chat disuruh nunggu sampe tanggal 25 Mei padahal gua selesai pelatihan tanggal 15 dan udah dapet sertifikat penyelesaian. ini udah tanggal 28 masih belum ada juga ajir, nyesel gua beli pelatihan di platform digital tokopedia ajirr, dari 30 akun prakerja yg gua pegang cuman tokopedia yang parah ajirr, sertifikat aja lamban bansatt"
Pengguna Google,1,2023-08-25 04:10:46,barang retur udah sukses tapi uang nya kaga di kembalikan
Pengguna Google,4,2022-10-05 02:59:55,sangT puas
Pengguna Google,5,2021-05-14 12:02:03,Saya bertrimakasi kepada Tokopedia yg suda bangak membantusaya raca bertran saksi yg saling menguntungkan kan. Trimakasih Tokopedia semoga semakin berkembang dan sukses selalu
Pengguna Google,5,2021-09-11 13:18:50,super
Pengguna Google,1,2021-10-24 20:47:39,Aplikasi ribet
Pengguna Google,5,2024-07-01 16:04:29,😎👍 bsgus
Pengguna Google,5,2022-04-03 06:15:17,blom tau juga jangn jangn sma kyk toko seblh klo brng nya beda sama yg ada di gambar
Pengguna Google,5,2021-05-28 05:04:24,100% GRATIS PENGGUNA BARU. TERIMA KASIH TOKOPEDIA.
Pengguna Google,1,2021-04-29 11:30:44,Udah dibayar malah di batalkan otomatis tertulis pelanggaran s&k bla bla bla
Pengguna Google,5,2021-10-01 08:52:52,💜BTS💜. Tugajk. Mklio. Yihj. Mjkan. M. Uigaitks
Pengguna Google,5,2022-01-12 06:39:30,good
Pengguna Google,5,2021-06-21 05:29:26,sangat membantu untuk belanja
Pengguna Google,5,2021-09-06 06:18:50,Bagus aplikasinya
Pengguna Google,1,2022-09-13 15:22:13,Pelayanan semakin buruk
Pengguna Google,1,2021-10-29 11:49:56,Aplikasi sangat tidak recomended!!! Download ngabisin kuota ajh! dapet vocher pengguna baru buat potongan harga tapi percuma gx bakal bisa kepake ntar kalo dah bayar malah di batalkan pemesanan dengan alasan pelanggaran produk :D :D :D
Pengguna Google,1,2021-04-27 17:35:16,Saya tidak bisa update. Bagaimana yah ?
Pengguna Google,5,2022-01-15 12:18:04,mantap
Pengguna Google,5,2021-09-18 10:32:15,trima kasih tokopedia
Pengguna Google,3,2023-07-23 07:07:21,"Membebani seler potongan terlalu mahal, niat jualan malah rugi, pindah orange aja saia."
Pengguna Google,5,2024-07-01 01:17:37,😍😍😍
Pengguna Google,5,2021-03-25 15:23:42,kerennnn
Pengguna Google,1,2022-09-18 14:51:21,Tolong ya brng sya gk smpai2 udh dri tgl 9 september gk nympe2 smpe akrng. Sya pkai jasa sigesit. Brng sya tiba di gianyar blahbatuh gk di kirim2. Niat ap gk sih.
Pengguna Google,5,2021-09-16 10:42:29,ok
Pengguna Google,5,2022-07-20 10:01:23,Bagus
Pengguna Google,5,2021-06-30 15:43:32,good
Pengguna Google,5,2022-05-18 03:46:54,baik sekali
Pengguna Google,5,2021-06-15 00:01:48,Paling bagud👍
Pengguna Google,5,2022-02-21 12:15:53,Ok...
Pengguna Google,5,2023-10-23 10:02:10,sangat membantu
Pengguna Google,1,2023-06-24 14:05:38,Gaada tindaklanjut terhadap pengganti an nomor telepon sudah tidak aktif alhasil gabisa login. Pelayanan payah
Pengguna Google,5,2021-05-04 13:02:04,Sangat bagusssssss
Pengguna Google,1,2022-01-04 08:50:06,"Kemarin suka,sekarang aplikasi nya gak jelas banget bilangnya akun daftar pertama dapet Rp 0 eh tiba tiba dibatalkan dari Tokopedia nya trus juga voucher voucher nya banyak yang gak bisa dipakai"
Pengguna Google,5,2021-11-20 09:35:48,ok bos
Pengguna Google,5,2021-11-27 09:45:26,terima kasih
Pengguna Google,5,2021-09-20 19:01:40,Mantap
Pengguna Google,5,2022-06-28 13:20:28,good
Pengguna Google,4,2021-03-29 23:50:32,sangat bagus
Pengguna Google,5,2022-03-16 05:20:07,"Sangatta senang menggunakan Tokopedia , promonya juga banyak , Sukkaaa Poko nya Terimakasih Tokopedia 🥰"
Pengguna Google,5,2024-03-21 06:10:05,keren
Pengguna Google,5,2021-04-04 12:12:53,aplikasinya bagus juga membantu
Pengguna Google,5,2021-04-28 04:28:56,Good
Pengguna Google,5,2021-08-19 15:41:45,membantu
Pengguna Google,5,2022-12-22 07:15:44,"Tokopedia memang mantap jiwa. Masukan untuk tokopedia : Kembangkan fitur ulasan kepada ekspedisi ya krn ini sangat bagus untuk kemajuan ekspedisi, Jadi ini seringkali ada kurir ekspedisi kirimnya telat ke konsumen, yg kena imbas jelek adalah seller, Jadi ketika kita belanja barang ke tokopedia itu kita juga beli jasa kurir ekspedisi, jdi tolong fitur ulasan dan penilaian kepada ekspedisi segera di hadirkan, Terima kasih."
Pengguna Google,5,2022-01-27 19:06:31,top markotop
Pengguna Google,5,2021-11-16 05:35:26,Bagus lo
Pengguna Google,5,2021-08-14 20:46:09,Bagus
Pengguna Google,5,2021-06-22 10:57:21,Selamat pagi semua ap yang jelek!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!ngapain liat ke bawah kepo ya
Pengguna Google,5,2022-01-22 08:37:12,mantab headset nyaa makasih yaa
Pengguna Google,5,2022-03-10 05:32:40,👍
Pengguna Google,5,2021-06-16 21:12:55,mantap
Pengguna Google,5,2021-12-17 13:04:49,mantep jasa udah lu mah okeee
Pengguna Google,5,2021-06-19 03:04:31,Gimana cara mengambil hadiah dari vocher tokopedia ka ? Ini saya dapat vocher 1 juta dari toko pedia ?
Pengguna Google,5,2021-03-31 07:35:09,"sangat membantu dalam hal belanja online, berkat tokopedia saya dapat membeli pelatihan online dalam meningkatkan wawasan dan kemampuan saya, semoga Tokopedia semakin suksez"
Pengguna Google,4,2021-07-27 10:15:54,Bagus
Pengguna Google,1,2021-05-16 12:21:41,Gk guna aplikasi nya
Pengguna Google,5,2021-08-31 10:27:26,Terimakasih Tokopedia atas pembelajaran nya
Pengguna Google,4,2021-10-13 16:59:50,Bagus
Pengguna Google,5,2021-04-10 00:38:58,ok
Pengguna Google,1,2024-01-13 11:45:14,Hai ini sudah masuk Januari masih aja 12.12 gak update sama sekali
Pengguna Google,4,2023-12-10 11:32:18,baru belanja 1 kali ini dan semoga banyak diskon dan barang rekomended terussss
Pengguna Google,5,2024-05-15 11:49:19,Top dah
Pengguna Google,5,2022-07-08 08:24:02,mantap
Pengguna Google,4,2021-11-12 06:27:52,"tambahin pembayaran cod dong, plss"
Pengguna Google,5,2021-07-05 01:09:53,Tokopedia paling asik beroo
Pengguna Google,5,2021-05-03 04:58:54,Muantappppppp buangetZzzzzz
Pengguna Google,1,2023-12-25 13:13:33,Barang ga di kirim2 sama kurir... Komplain tetep aja ga di kirim Aneh aja si
Pengguna Google,2,2021-04-05 01:05:19,apa benar bisa kedit?
Pengguna Google,5,2021-03-27 01:44:12,🤗🤗
Pengguna Google,5,2021-10-02 04:39:38,Jozzz..
Pengguna Google,5,2024-03-29 01:58:34,Keren banget ini aplikasi mudah sekali saya dalam melakukan transaksi pembelian.. 🙏🙏☺️☺️
Pengguna Google,5,2021-06-17 10:40:42,mantap
Pengguna Google,5,2021-03-26 12:30:10,sangat baik sekali
Pengguna Google,5,2021-04-01 11:58:18,Sangat bermanfaat penjelasan mentornya sangat mudah di pahami oleh saya dan saya jadi lebih mengerti cara berjualan online
Pengguna Google,5,2021-04-08 12:58:28,Sangat bagus dan nyaman
Pengguna Google,4,2022-01-13 01:00:45,sip bagus diskonannya
Pengguna Google,5,2021-05-04 11:44:45,Mantap banget gak perlu ribet
Pengguna Google,1,2024-04-04 04:10:29,"Kurir rekomendasi nya tolong lahhhh yang bener kerjanya, masa setiap kali mesen di toko pedia pengiriman nya lama banget!? KAYA SEBELAH DONG SATSET DALAM HAL PENGIRIMAN!!! tolong ya toko pedia perbaiki sistem pengiriman nya!!!!!!"
Pengguna Google,5,2023-06-09 07:10:09,trimaksih
Pengguna Google,5,2022-06-25 11:03:47,Tokped sangat membantu saya untuk berjualan
Pengguna Google,5,2024-06-07 10:38:44,Terimakasih telah menjadi platform penyedia pelatihan prakerja. Saya sangat terbantu dengan berbagai banyak macam pilihan pelatihan.
Pengguna Google,5,2021-12-13 04:12:09,Sangat puas belanja di Tokopedia
Pengguna Google,5,2021-06-23 09:56:50,yes good
Pengguna Google,4,2021-08-14 06:46:40,Toko pedia mantap
Pengguna Google,5,2021-04-07 03:41:50,good
Pengguna Google,4,2021-11-19 11:53:37,promo
Pengguna Google,5,2021-09-29 12:58:34,Belanja online di seluruh Indonesia dengan memakai Tokopedia sangat membantu
Pengguna Google,3,2021-12-13 09:23:46,"Ini kalo ke kalimantan emang ga bisa COD ya? Udah cari toko yg bisa COD, tapi pas dibagian milih ekspedisi pengiriman/metode pembayaran tetep ga bisa COD😢"
Pengguna Google,5,2022-02-25 23:34:55,mntapzss
Pengguna Google,5,2024-01-26 01:58:03,Promo Pengguna Barunya Keren Euy 😍
Pengguna Google,5,2022-01-19 16:48:31,Menunjang usaha kecil.
Pengguna Google,5,2021-04-09 04:30:15,Sangat memuaskan
Pengguna Google,5,2021-04-01 09:28:35,bermanfaat
Pengguna Google,5,2023-11-15 17:01:38,Tdk jelas pengiriman AA miliknya dilacak Perjalanannya karangan investigasi 7hari lebih lama dari waktu estimasi Kalau digabungin bisa hampir 2 minggu wkwkw ya dah la last after all my orders recived
Pengguna Google,1,2022-06-24 16:22:40,"Banyak spam produk dan kata kunci Mencari barang jadi terhambat, tak jarang produk yg dicari hilang karna filter"
Pengguna Google,5,2023-01-19 07:27:19,keren banget
Pengguna Google,5,2021-09-14 11:23:45,Top
Pengguna Google,5,2021-04-12 13:34:47,sering belanja disini.... alhamdulillah tidak ada yg mengecewakan.
Pengguna Google,5,2023-11-12 16:52:30,jos
Pengguna Google,5,2021-06-22 03:48:51,"Hi Tokopedia.. tolong dong untuk keranjang jangan dibatasi pliss padahal bnyk bgt barang yg dipengen..masak cuman dibolehin 20 toko..udah pernah belanja dan gaada kendala.**tapi makasih bgt juga udah pernah ngundang Treasure,Nct,dll dan gandeng Blackpink & Bts ..** ♡(๑•ᴗ•๑)♡"
Pengguna Google,5,2022-01-29 13:10:16,"Cuma mau kasih saran saja,gimana seandainya tokopedia punya kurir sendiri"
Pengguna Google,5,2022-04-20 03:41:40,the best pokoknya
Pengguna Google,2,2021-05-27 05:29:11,Pake code susah
Pengguna Google,5,2021-05-18 23:33:16,aku lope tokopedia
Pengguna Google,5,2022-06-17 12:20:58,"Entah berapa dan apa aja yang udah dikorbankan Tokopedia. Sekarang saya bener2 menikmati belanja dirumah aja tanpa repot2 keluar waktu, tenaga dan bahkan uang lebih. Maju terus buat Tokopedia dan tim. Semangat terus, kerja kalian nggak sia2, insyaallah manfaat buat orang banyak 🙏"
Pengguna Google,4,2021-04-24 23:49:27,Hemmm toko onlane bagus
Pengguna Google,4,2021-11-25 08:08:21,sering* ya bagi belanja 0 rupiah nya
Pengguna Google,4,2021-04-26 18:21:41,Mantap
Pengguna Google,5,2021-05-02 16:58:24,nice
Pengguna Google,5,2022-01-19 07:22:45,"sangat membantu, dan terbaik👍💯"
Pengguna Google,5,2021-04-21 00:04:09,sangat menarik aplikasi ini
Pengguna Google,1,2022-09-18 16:37:34,Onkir nya mahalllllll
Pengguna Google,5,2022-02-23 00:24:03,Aplikasi bagusss Banyak pilihan barang
Pengguna Google,2,2022-02-06 11:16:30,pean ngenten
Pengguna Google,5,2021-08-02 11:29:35,Mantap gan
Pengguna Google,5,2021-08-05 15:27:16,Tolong COD nya di perluas lagi Karna saya belum menemukan barang yang bisa di cod
Pengguna Google,5,2022-05-02 11:57:19,Goodd
Pengguna Google,5,2021-08-25 23:17:46,Terimakasih tokopedia dengan saya beli pelatihan di tokopedia saya bertambah ilmu karena pelatihan di tokopedia mudah di pahami
Pengguna Google,5,2024-07-07 14:17:48,bnyak promo bagus bget
Pengguna Google,1,2021-06-25 12:17:03,Selamat malam ... Complain saya kemarin belum ada solusi .. gimna ya Ini keamanannya gimna ?? Akun saya ke hack .. ada transaksi bukan Saya
Pengguna Google,5,2021-07-15 12:03:58,good job
Pengguna Google,5,2023-09-02 00:36:45,mantap
Pengguna Google,4,2022-02-24 10:40:24,"tokped di pengiriman cpt nyampe tp di hrga produk nya lumdyan mhl"""
Pengguna Google,5,2021-06-25 03:59:43,Ckup baik
Pengguna Google,5,2021-10-20 06:34:28,jadi lebih mudah
Pengguna Google,1,2022-09-10 04:16:52,"Biaya 1000 rupiah harus dikenakan ke cuctomer juga sekarang. Apa karena sudah join dg goto, ini sama dengan aplikasi ojolnya semua kena biaya. Mulai dari tenant,mitra, dan pengguna dikenakan biaya tambahan. Tokopedia udah 100juta download, iklan, belum dari seller. Unisntall aplikasi customer, produk seller siapa yg mau beli?? Siapa yg rugi?? Siapa yang salah?? TUKANG RUJAK, Karena aquarium untuk tempat buah."
Pengguna Google,5,2021-11-21 21:24:21,bagusss
Pengguna Google,5,2021-10-03 12:52:00,Good
Pengguna Google,4,2021-07-16 14:31:37,good
Pengguna Google,4,2022-05-30 11:51:27,Mantap
Pengguna Google,5,2021-09-01 15:45:57,Keren
Pengguna Google,5,2021-04-01 09:27:41,Sangat baik dan membantu jadi lebih mudah
Pengguna Google,5,2021-03-29 07:29:42,Sangat baik
Pengguna Google,5,2021-05-04 20:57:10,Alhamdulillah sekarang akun saya sdh bisa menggunakan promo kembali.. Terima kasih yaa...
Pengguna Google,5,2021-11-14 15:02:33,Tokopedia mantap........terus tingkatkan lagi promo-promo nya serta bebas ongkir
Pengguna Google,5,2021-10-10 02:08:20,mantap
Pengguna Google,5,2021-09-01 17:58:59,mantul
Pengguna Google,5,2021-09-02 12:41:27,Bagus
Pengguna Google,1,2021-11-28 11:23:21,"Apalah nih toko pedia,tdi aku masuk google Masuk Kode Redem Tpi disuruh donlod toko pedia,udah kudonlod kok blom masuk dm nya"
Pengguna Google,5,2022-05-10 04:02:41,puasa bgt dpt traktiran dr tokopedia
Pengguna Google,5,2022-03-06 15:08:28,keerrreeennn. ternyata beneran dapat barang 0rupiah🤩
Pengguna Google,5,2021-08-19 08:19:01,suip..
Pengguna Google,5,2022-11-29 14:37:31,mantap
Pengguna Google,5,2021-07-23 05:58:11,Belanja online di Tokopedia tuh nyaman banget
Pengguna Google,5,2024-03-09 00:04:21,asangat mudah digunakan mudah dimengerti dan banyak vocer y
Pengguna Google,5,2021-04-16 18:05:00,prosesnya cepat
Pengguna Google,5,2022-04-12 04:55:40,Test dulu.
Pengguna Google,5,2021-08-09 00:24:46,"Selama belanja tdk pernah kecewa,respon cepat, produck sesuai gambar dan dikripsinya,harga jg bersahabat, mantap pool"
Pengguna Google,1,2022-09-04 08:08:51,Tiap pake sameday selalu bermasalah sama ongkirnya
Pengguna Google,5,2022-06-04 10:41:40,"Menurut ku selama belanja online paling nyaman dan ga was2 takut barang hilng/ga datang hanya di Tokopedia. Pernah kejadian beberapa kali barang hilang eh langsung diganti sesuai nominal barangnya. Pernah juga klaim karena barang ga datang2 eh sampai komplain selesai tapi saldo belum di refund sih, ternyata barang datang. Saya chat Tokopedia divitur chat itu langsung ditelvon sama customer service nya diperjelas dan diselesaikan. Bukan kayak si oren kasus ginian berkali2 ribet bngt ga brs2🤣🙏"
Pengguna Google,2,2021-04-12 08:14:29,Tdk tau lgi hrus omong ap
Pengguna Google,1,2021-11-27 09:02:58,Au ahhh males bahasnya
Pengguna Google,5,2022-10-12 05:37:19,good
Pengguna Google,5,2022-03-13 11:28:19,mantebbbb
Pengguna Google,5,2021-12-28 05:57:45,oke
Pengguna Google,5,2021-08-12 22:16:52,Mantap bagi bagi hadiah
Pengguna Google,5,2022-05-05 12:05:38,toko pedia the best.. ori karya anak bangsa diperbaiki lagi dong.. masuk kok donloadtan eror terus
Pengguna Google,5,2022-10-14 09:21:12,Trimkasi tokopedia.. Yg telah memberikn rekomendasi tuk sya ..
Pengguna Google,5,2022-08-24 06:23:51,TOP B G T
Pengguna Google,5,2022-02-09 17:14:27,Mantap dan pasti ngak kayak d lasada
Pengguna Google,5,2022-11-06 05:56:39,mantap
Pengguna Google,5,2024-02-23 05:20:07,puas
Pengguna Google,5,2021-04-07 16:17:44,Suka belanja onlaien yg penting cocok harga
Pengguna Google,5,2022-09-10 12:13:59,mantap toko pedia
Pengguna Google,5,2021-09-15 11:50:43,mantap
Pengguna Google,5,2021-12-23 13:36:35,good job
Pengguna Google,5,2022-07-31 13:13:52,ndak tau tanya ya kok tanya saya
Pengguna Google,5,2021-10-02 08:59:20,Belum pernah
Pengguna Google,1,2024-04-04 13:26:05,"Pengiriman sesama jakarta dari tanggal 31 sampe tgl 8. Gila ! Lebih lebihin kirim dari jakarta ke Bali. Percuma langganan plus, plus ampas."
Pengguna Google,5,2021-11-30 12:11:33,sedeng lah
Pengguna Google,5,2021-10-07 17:14:06,baguss bngett
Pengguna Google,5,2022-07-25 07:23:54,"mantap, di sini bisa pilih kurir 😅👍🏻"
Pengguna Google,1,2024-01-18 12:57:32,G bisa cod pntk
Pengguna Google,5,2021-10-30 12:39:34,Good
Pengguna Google,5,2022-02-19 13:08:01,Ok
Pengguna Google,5,2022-04-22 19:42:02,sangat bermanfaat dan bersahabat
Pengguna Google,5,2021-07-16 03:05:22,ok
Pengguna Google,5,2021-10-04 17:33:01,Ghik
Pengguna Google,5,2024-06-07 21:12:07,mantap toko pedia...
Pengguna Google,5,2021-08-19 11:44:08,Kakek gw bilang gg dan bagussss
Pengguna Google,5,2021-10-08 08:26:11,top bgt
Pengguna Google,5,2021-12-22 05:48:10,Ok
Pengguna Google,1,2023-08-09 20:51:00,"semakin lama semakin banyak biaya ini itu dan semakin kesini adminnya terkesan selalu memihak penjual kalau ada masalah. misalnya saya mengembalikan barang karena ditipu dikirim barang yg tidak sesuai, bukti ada apa2 ada, admin bilanf akan mencairkan dana saya 2x 24 jam tapi beehari hari tidak dicairkan"
Pengguna Google,5,2022-04-25 00:25:27,bagus bangett
Pengguna Google,5,2021-04-24 07:15:09,mantap teruuusss
Pengguna Google,5,2022-06-14 06:28:41,Biasa aja
Pengguna Google,5,2022-02-17 13:03:57,bagusssss
Pengguna Google,1,2023-04-08 14:27:12,Tidak bisa login. Padahal sudah ada balas WA dan sudah masukkan PIN
Pengguna Google,5,2021-03-29 14:56:07,top deh
Pengguna Google,4,2021-06-10 16:27:42,oke
Pengguna Google,5,2022-04-05 03:52:48,ok
Pengguna Google,3,2024-06-29 05:03:21,"Pengiriman nya lama banget,bisa 9 hari 😔"
